0.0716635,0.0564646
0.0809202,0.0637623
0.0917902,0.0686523
0.09066,0.0609691
0.0806404,0.0541137
0.0747813,0.0544066
0.0843585,0.0604626
0.0939106,0.0655469
0.108063,0.0740529
0.152269,0.0987553
0.29607,0.19367
0.53838,0.384039
0.646438,0.554335
0.573986,0.533397
0.324643,0.34502
0.152873,0.113692
0.1035,0.0667103
0.0813729,0.0506098
0.06819,0.0442993
0.0607813,0.0399337
0.0578836,0.038461
0.0600411,0.040955
0.0710358,0.0517394
0.0896987,0.0671717
0.0909784,0.0718168
0.0843883,0.0646374
0.0621391,0.0450812
0.0516004,0.0362994
0.0472169,0.0333722
0.0461617,0.0329694
0.0463108,0.0339862
0.0489859,0.0371877
0.0539461,0.0428271
